side,limit,margin,stat,type,fromPosition
long,-37598.5,0.01,open,open Position,1296.5
long,-38171.25,0.01,open,open Position,1316.25
long,-37908.8,0.01,open,open Position,1307.2
long,-38204.6,0.01,open,open Position,1317.4
long,-38819.4,0.01,open,open Position,1338.6
long,-39266,0.01,open,open Position,1354
long,-38884.65,0.01,open,open Position,1340.85
long,-39174.65,0.01,open,open Position,1350.85
long,-38506.2,0.01,open,open Position,1327.8
long,-38973.1,0.01,open,open Position,1343.9
long,-39489.3,0.01,open,open Position,1361.7
long,-39324,0.01,open,open Position,1356
long,-39928.65,0.01,open,open Position,1376.85
long,-40159.2,0.01,open,open Position,1384.8
long,-39867.75,0.01,open,open Position,1374.75
long,-39695.2,0.01,open,open Position,1368.8
long,-39593.7,0.01,open,open Position,1365.3
long,-39593.7,0.01,open,open Position,1365.3
long,-39264.55,0.01,open,open Position,1353.95
long,-39316.75,0.01,open,open Position,1355.75
long,-39338.5,0.01,open,open Position,1356.5
long,-39409.55,0.01,open,open Position,1358.95
long,-39374.75,0.01,open,open Position,1357.75
long,-39347.2,0.01,open,open Position,1356.8
long,-39208,0.01,open,open Position,1352
long,-39431.3,0.01,open,open Position,1359.7
long,-39303.7,0.01,open,open Position,1355.3
long,-39123.9,0.01,open,open Position,1349.1
long,-38954.25,0.01,open,open Position,1343.25
long,-39409.55,0.01,open,open Position,1358.95
long,-39912.7,0.01,open,open Position,1376.3
long,-39625.6,0.01,open,open Position,1366.4
long,-38704.85,0.01,open,open Position,1334.65
long,-38981.8,0.01,open,open Position,1344.2
long,-39180.45,0.01,open,open Position,1351.05
long,-38935.4,0.01,open,open Position,1342.6
long,-38168.35,0.01,open,open Position,1316.15
long,-38578.7,0.01,open,open Position,1330.3
long,-38342.35,0.01,open,open Position,1322.15
long,-38665.7,0.01,open,open Position,1333.3
long,-38520.7,0.01,open,open Position,1328.3
long,-38833.9,0.01,open,open Position,1339.1
long,-38751.25,0.01,open,open Position,1336.25
long,-38791.85,0.01,open,open Position,1337.65
long,-38590.3,0.01,open,open Position,1330.7
long,-38461.25,0.01,open,open Position,1326.25
long,-38607.7,0.01,open,open Position,1331.3
long,-38516.35,0.01,open,open Position,1328.15
long,-38802,0.01,open,open Position,1338
long,-39016.6,0.01,open,open Position,1345.4
long,-39144.2,0.01,open,open Position,1349.8
long,-39295,0.01,open,open Position,1355
long,-39070.25,0.01,open,open Position,1347.25
long,-38912.2,0.01,open,open Position,1341.8
long,-38926.7,0.01,open,open Position,1342.3
long,-38880.3,0.01,open,open Position,1340.7
long,-40659.45,0.01,open,open Position,1402.05
long,-39864.85,0.01,open,open Position,1374.65
long,-38345.25,0.01,open,open Position,1322.25
long,-38103.1,0.01,open,open Position,1313.9
long,-36305.1,0.01,open,open Position,1251.9
long,-36033.95,0.01,open,open Position,1242.55
long,-36077.45,0.01,open,open Position,1244.05
long,-36004.95,0.01,open,open Position,1241.55
long,-36419.65,0.01,open,open Position,1255.85
long,-36666.15,0.01,open,open Position,1264.35
long,-36592.2,0.01,open,open Position,1261.8
long,-36628.45,0.01,open,open Position,1263.05
long,-36474.75,0.01,open,open Position,1257.75
long,-36715.45,0.01,open,open Position,1266.05
long,-37053.3,0.01,open,open Position,1277.7
long,-37370.85,0.01,open,open Position,1288.65
long,-37441.9,0.01,open,open Position,1291.1
long,-37562.25,0.01,open,open Position,1295.25
long,-37923.3,0.01,open,open Position,1307.7
long,-37881.25,0.01,open,open Position,1306.25
long,-36864.8,0.01,open,open Position,1271.2
long,-36690.8,0.01,open,open Position,1265.2
long,-36841.6,0.01,open,open Position,1270.4
long,-37141.75,0.01,open,open Position,1280.75
long,-37396.95,0.01,open,open Position,1289.55
long,-37759.45,0.01,open,open Position,1302.05
long,-38365.55,0.01,open,open Position,1322.95
long,-38381.5,0.01,open,open Position,1323.5
long,-37897.2,0.01,open,open Position,1306.8
long,-38362.65,0.01,open,open Position,1322.85
long,-38440.95,0.01,open,open Position,1325.55
long,-38285.8,0.01,open,open Position,1320.2
long,-38633.8,0.01,open,open Position,1332.2
long,-38381.5,0.01,open,open Position,1323.5
long,-38855.65,0.01,open,open Position,1339.85
long,-39121,0.01,open,open Position,1349
long,-38902.05,0.01,open,open Position,1341.45
long,-38907.85,0.01,open,open Position,1341.65
long,-38606.25,0.01,open,open Position,1331.25
long,-38188.65,0.01,open,open Position,1316.85
long,-38056.7,0.01,open,open Position,1312.3
long,-37527.45,0.01,open,open Position,1294.05
long,-37323,0.01,open,open Position,1287
long,-37617.35,0.01,open,open Position,1297.15
long,-36815.5,0.01,open,open Position,1269.5
long,-37189.6,0.01,open,open Position,1282.4
long,-37504.25,0.01,open,open Position,1293.25
long,-37543.4,0.01,open,open Position,1294.6
long,-37552.1,0.01,open,open Position,1294.9
long,-37169.3,0.01,open,open Position,1281.7
long,-37453.5,0.01,open,open Position,1291.5
long,-37684.05,0.01,open,open Position,1299.45
long,-38429.35,0.01,open,open Position,1325.15
long,-38536.65,0.01,open,open Position,1328.85
long,-38465.6,0.01,open,open Position,1326.4
long,-38206.05,0.01,open,open Position,1317.45
long,-38219.1,0.01,open,open Position,1317.9
long,-38390.2,0.01,open,open Position,1323.8
long,-38306.1,0.01,open,open Position,1320.9
long,-38490.25,0.01,open,open Position,1327.25
long,-38619.3,0.01,open,open Position,1331.7
long,-38384.4,0.01,open,open Position,1323.6
long,-38339.45,0.01,open,open Position,1322.05
long,-38529.4,0.01,open,open Position,1328.6
long,-38459.8,0.01,open,open Position,1326.2
long,-38432.25,0.01,open,open Position,1325.25
long,-38464.15,0.01,open,open Position,1326.35
long,-38603.35,0.01,open,open Position,1331.15
long,-38913.65,0.01,open,open Position,1341.85
long,-38902.05,0.01,open,open Position,1341.45
long,-38839.7,0.01,open,open Position,1339.3
long,-38770.1,0.01,open,open Position,1336.9
long,-38726.6,0.01,open,open Position,1335.4
long,-38944.1,0.01,open,open Position,1342.9
long,-38894.8,0.01,open,open Position,1341.2
long,-38894.8,0.01,open,open Position,1341.2
long,-38355.4,0.01,open,open Position,1322.6
long,-38095.85,0.01,open,open Position,1313.65
long,-38169.8,0.01,open,open Position,1316.2
long,-38290.15,0.01,open,open Position,1320.35
long,-38294.5,0.01,open,open Position,1320.5
long,-38288.7,0.01,open,open Position,1320.3
long,-38520.7,0.01,open,open Position,1328.3
long,-38475.75,0.01,open,open Position,1326.75
long,-38333.65,0.01,open,open Position,1321.85
long,-38442.4,0.01,open,open Position,1325.6
long,-38628,0.01,open,open Position,1332
